,Data,Último
0,01.12.2025,158.473
1,01.11.2025,159.072
2,01.10.2025,149.54
3,01.09.2025,146.237
4,01.08.2025,141.422
5,01.07.2025,133.071
6,01.06.2025,138.855
7,01.05.2025,137.027
8,01.04.2025,135.067
9,01.03.2025,130.26
10,01.02.2025,122.799
11,01.01.2025,126.135
12,01.12.2024,120.283
13,01.11.2024,125.668
14,01.10.2024,129.713
15,01.09.2024,131.816
16,01.08.2024,136.004
17,01.07.2024,127.652
18,01.06.2024,123.907
19,01.05.2024,122.098
20,01.04.2024,125.924
21,01.03.2024,128.106
22,01.02.2024,129.02
23,01.01.2024,127.752
24,01.12.2023,134.185
25,01.11.2023,127.331
26,01.10.2023,113.144
27,01.09.2023,116.565
28,01.08.2023,115.742
29,01.07.2023,121.943
30,01.06.2023,118.087
31,01.05.2023,108.335
32,01.04.2023,104.432
33,01.03.2023,101.882
34,01.02.2023,104.932
35,01.01.2023,113.431
36,01.12.2022,109.735
37,01.11.2022,112.486
38,01.10.2022,116.037
39,01.09.2022,110.037
40,01.08.2022,109.523
41,01.07.2022,103.165
42,01.06.2022,98.542
43,01.05.2022,111.351
44,01.04.2022,107.876
45,01.03.2022,119.999
46,01.02.2022,113.142
47,01.01.2022,112.144
48,01.12.2021,104.822
49,01.11.2021,101.915
50,01.10.2021,103.501
51,01.09.2021,110.979
52,01.08.2021,118.781
53,01.07.2021,121.801
54,01.06.2021,126.802
55,01.05.2021,126.216
56,01.04.2021,118.894
57,01.03.2021,116.634
58,01.02.2021,110.035
59,01.01.2021,115.068
60,01.12.2020,119.017
61,01.11.2020,108.893
62,01.10.2020,93.952
63,01.09.2020,94.603
64,01.08.2020,99.369
65,01.07.2020,102.912
66,01.06.2020,95.056
67,01.05.2020,87.403
68,01.04.2020,80.506
69,01.03.2020,73.02
70,01.02.2020,104.172
71,01.01.2020,113.761
72,01.12.2019,115.645
73,01.11.2019,108.233
74,01.10.2019,107.22
75,01.09.2019,104.745
76,01.08.2019,101.135
77,01.07.2019,101.812
78,01.06.2019,100.967
79,01.05.2019,97.03
80,01.04.2019,96.353
81,01.03.2019,95.415
82,01.02.2019,95.584
83,01.01.2019,97.394
84,01.12.2018,87.887
85,01.11.2018,89.504
86,01.10.2018,87.424
87,01.09.2018,79.342
88,01.08.2018,76.678
89,01.07.2018,79.22
90,01.06.2018,72.763
91,01.05.2018,76.754
92,01.04.2018,86.115
93,01.03.2018,85.366
94,01.02.2018,85.354
95,01.01.2018,84.913
96,01.12.2017,76.402
97,01.11.2017,71.971
98,01.10.2017,74.308
99,01.09.2017,74.294
100,01.08.2017,70.835
101,01.07.2017,65.92
102,01.06.2017,62.9
103,01.05.2017,62.711
104,01.04.2017,65.403
105,01.03.2017,64.984
106,01.02.2017,66.662
107,01.01.2017,64.671
108,01.12.2016,60.227
109,01.11.2016,61.906
